2D Materials	2D Mater.
International Journal of Qualitative Methods	Int. J. Qual. Methods
International Journal of Quantum Chemistry	Int. J. Quantum Chem.
International Journal of Radiation Applications and Instrumentation. Part A. Applied Radiation and Isotopes	Int. J. Radiat. Appl. Instrum. Part A
International Journal of Radiation Applications and Instrumentation. Part B. Nuclear Medicine and Biology	Int. J. Radiat. Appl. Instrum. Part B
International Journal of Radiation Applications and Instrumentation. Part C. Radiation Physics and Chemistry	Int. J. Radiat. Appl. Instrum. Part C
International Journal of Radiation Applications and Instrumentation. Part D. Nuclear Tracks and Radiation Measurements	Int. J. Radiat. Appl. Instrum. Part D
International Journal of Radiation Applications and Instrumentation. Part E. Nuclear Geophysics	Int. J. Radiat. Appl. Instrum. Part E
International Journal of Radiation Biology	Int. J. Radiat. Biol.
International Journal of Radiation Medicine	Int. J. Radiat. Med.
International Journal of Radiation Oncology Biology Physics	Int. J. Radiat. Oncol. Biol. Phys.
International Journal of Radiation Physics	Int. J. Radiat. Phys.
International Journal of Radio Frequency Identification Technology and Applications	Int. J. Radio Freq. Identif. Technol. Appl.
International Journal of Rail Transportation	Int. J. Rail Transp.
International Journal of Reconfigurable Computing	Int. J. Reconfigurable Comput.
International Journal of Recycling of Organic Waste in Agriculture	Int. J. Recyl. Org. Waste Agric.
International Journal of Refractory Metals and Hard Materials	Int. J. Refract. Met. Hard Mater
International Journal of Refrigeration	Int. J. Refrig.
International Journal of Rehabilitation Research	Int. J. Rehabil. Res.
International Journal of Reliability and Safety	Int. J. Reliab. Saf.
"International Journal of Reliability, Quality and Safety Engineering"	Int. J. Reliab. Qual. Saf. Eng.
International Journal of Remote Sensing	Int. J. Remote Sens.
International Journal of Research in Undergraduate Mathematics Education	Int. J. Res. Undergrad. Math. Educ.
International Journal of RF and Microwave Computer-Aided Engineering	Int. J. RF Microwave Comput. Aided Eng.
International Journal of RF Technologies: Research and Applications	Int. J. RF Technol. Res. Appl.
International Journal of Risk & Safety in Medicine	Int. J. Risk Saf. Med.
International Journal of River Basin Management	Int. J. River Basin Manage.
International Journal of Robotics and Automation	Int. J. Rob. Autom.
International Journal of Robotics Research	Int. J. Rob. Res.
International Journal of Robust and Nonlinear Control	Int. J. Robust Nonlinear Control
International Journal of Rock Mechanics and Mining Sciences	Int. J. Rock Mech. Min. Sci.
International Journal of Rotating Machinery	Int. J. Rotating Mach.
International Journal of Satellite Communications and Networking	Int. J. Satell. Commun. Networking
International Journal of Science Education	"Int. J. Sci. Educ,"
International Journal of Scientific and Engineering Research	Int. J. Sci. Eng. Res.
International Journal of Security and Networks	Int. J. Secur. Netw.
International Journal of Sediment Research	Int. J. Sediment Res.
International Journal of Self-Propagating High-Temperature Synthesis	Int. J. Self Propag. High Temp. Synth.
International Journal of Services Operations and Informatics	Int. J. Serv. Oper. Inf.
"International Journal of Services, Technology and Management"	Int. J. Serv. Technol. Manage.
International Journal of Shape Modeling	Int. J. Shape Model.
International Journal of Simulation and Process Modelling	Int. J. Simul. Process Model.
"International Journal of Simulation: Systems, Science and Technology"	Int. J. Simul. Syst. Sci. Technol.
International Journal of Smart and Nano Materials	Int. J. Smart Nano Mater.
International Journal of Smart Sensing and Intelligent Systems	Int. J. Smart Sens. Intell. Syst.
International Journal Of Social Robotics	Int. J. Social Rob.
International Journal of Soft Computing	Int. J. Soft Comput.
International Journal of Software Engineering and Knowledge Engineering	Int. J. Software Eng. Knowl. Eng.
International Journal of Soil Dynamics and Earthquake Engineering	Int. J. Soil Dyn. Earthquake Eng.
International Journal of Soil Science	Int. J. Soil Sci.
International Journal of Solids and Structures	Int. J. Solids Struct.
International Journal of Space Structures	Int. J. Space Struct.
International Journal of Spectroscopy	Int. J. Spectro.
International Journal of Speech Technology	Int. J. Speech Technol.
International Journal of Sport Nutrition	Int. J. Sport Nutr.
International Journal of Sport Nutrition and Exercise Metabolism	Int. J. Sport Nutr. Exercise Metab.
International Journal of Sports Medicine	Int. J. Sports Med.
International Journal of Spray and Combustion Dynamics	Int. J. Spray Combust. Dyn.
International Journal of Steel Structures	Int. J. Steel Struct.
International Journal of Stem Cells	Int. J. Stem Cells
International Journal of STEM Education Research	Int. J. STEM Educ. Res.
International Journal of Streel Structures	Int. J. Steel Struct.
International Journal of Structural Stability and Dynamics	Int. J. Struct. Stab. Dyn.
International Journal of Sulfur Chemistry Part A: Original Experimental and Theoretical Studies	Int. J. Sulfur Chem. Part A:
International Journal of Sulfur Chemistry Part B: Quartler Reports on Sulfur Chemistry	Int. J. Sulfur Chem. Part B:
"International Journal of Surface Mining, Reclamation, and Environment"	Int. J. Surf. Min. Reclam. Environ.
International Journal of Surface Science and Engineering	Int. J. Surf. Sci. Eng.
International Journal of Sustainable Building Technology and Urban Development	Int. J. Sustainable Build. Technol. Urban Dev.
International Journal of Sustainable Built Environment	Int. J. Sustainable Built Environ.
International Journal of Sustainable Development	Int. J. Sustainable Dev.
International Journal of Sustainable Development and World Ecology	Int. J. Sustainable Dev. World Ecol.
International Journal of Sustainable Energy	Int. J. Sustainable Energy
International Journal of Sustainable Engineering	Int. J. Sustainable Eng.
International Journal of Sustainable Transportation	Int. J. Sustainable Transp.
International Journal of Systematic and Evolutionary Microbiology	Int. J. Syst. Evol. Microbiol.
International Journal Of Systems Assurance Engineering And Management	Int. J. Syst. Assur. Eng. Manage.
International Journal of Systems Science	Int. J. Syst. Sci.
International Journal of Systems Science: Operations and Logistics	Int. J. Syst. Sci.: Oper. Logist.
International Journal of Technology and Design Education	Int. J. Technol. Des. Educ.
International Journal of Technology and Human Interaction	Int. J. Technol. Hum. Interact.
International Journal of Technology Assessment in Health Care	Int. J. Technol. Assess. Health Care
International Journal of Technology Intelligence and Planning	Int. J. Technol. Intell. Plann.
International Journal of Technology Management	Int. J. Technol. Manage.
"International Journal of Technology, Policy and Management"	Int. J. Technol. Policy Manage.
International Journal of the Japan Society for Precision Engineering	Int. J. Jpn. Soc. Precis. Eng.
International Journal of the Society of Material Engineering for Resources	Int. J. Soc. Mater. Eng. Resour.
International Journal of Theoretical Physics	Int. J. Theor. Phys.
"International Journal of Theoretical Physics, Group Theory, and Nonlinear Optics"	Int. J. Theor. Phys. Group Theory Nonlinear Opt.
International Journal of Thermal Sciences	Int. J. Therm. Sci.
International Journal of Thermodynamics	Int. J. Thermodyn.
International Journal of Thermofluids	Int. J. Thermofluids
International Journal of Thermophysics	Int. J. Thermophys.
International Journal of Toxicology	Int. J. Toxicol.
International Journal of Transport Development and Integration	Int. J. Transp. Dev. Integr.
International Journal of Transport Phenomena	Int. J. Transp. Phenom.
International Journal of Transportation Science and Technology	Int. J. Transp. Sci. Technol.
International Journal of Tropical Insect Science	Int. J. Trop. Insect Sci.
International Journal of Tryptophan Research	Int. J. Tryptophan Res.
International Journal Of Turbo And Jet Engines	Int. J. Turbo Jet Engines
"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems"	Int. J. Uncertainty Fuzziness Knowledge Based Syst.
International Journal of Urban Sciences	Int. J. Urban Sci.
International Journal of Urban Sustainable Development	Int. J. Urban Sustainable Dev.
International Journal of Vegetable Science	Int. J. Veg. Sci.
International Journal of Vehicle Autonomous Systems	Int. J. Veh. Auton. Syst.
International Journal of Vehicle Design	Int. J. Veh. Des.
International Journal of Vehicle Information and Communication Systems	Int. J. Veh. Inf. Commun. Syst.
International Journal of Vehicle Noise and Vibration	Int. J. Veh. Noise Vib.
International Journal of Vehicle Safety	Int. J. Veh. Saf.
International Journal of Vehicle Systems Modelling and Testing	Int. J. Veh. Syst. Model. Test.
International Journal of Ventilation	Int. J. Vent.
International Journal of Veterinary Science and Medicine	Int. J. Vet. Sci. Med.
International Journal of Water	Int. J. Water
International Journal of Water Resources Development	Int. J. Water Resour. Dev.
"International Journal of Wavelets, Multiresolution and Information Processing"	Int. J. Wavelets Multiresolution Inf. Process.
International Journal of Web and Grid Services	Int. J. Web Grid Serv.
International Journal of Web Based Communities	Int. J. Web Based Communities
International Journal of Web Engineering and Technology	Int. J. Web Eng. Technol.
International Journal of Web Services Research	Int. J. Web Serv. Res.
International Journal of Wildland Fire	Int. J. Wildland Fire
International Journal of Wine Research	Int. J. Wine Res.
International Journal of Wireless and Mobile Computing	Int. J. Wireless Mobile Comput.
International Journal of Wireless Information Networks	Int. J. Wireless Inf. Networks
International Journal of Wrestling Science	Int. J. Wrestling Sci.
International Journal of Zoology	Int. J. Zool.
International Journal on Algae	Int. J. Algae
International Journal on Artificial Intelligence Tools	Int. J. Artif. Intell. Tools
International Journal on Document Analysis and Recognition	Int. J. Doc. Anal. Recogn.
International Journal on Drug Policy	Int. J. Drug Policy
International Journal on Hydropower and Dams	Int. J. Hydropower Dams
International Journal on Interactive Design and Manufacturing	Int. J. Interact. Des. Manuf.
International Journal on Software Tools for Technology Transfer	Int. J. Software Tools Technol. Trans.
International Journal on Uncertainty Quantification	Int. J. Uncertainty Quantif.
International Materials Reviews	Int. Mater. Rev.
International Mathematics Research Notices	Int. Math. Res. Not.
International Mathematics Research Papers	Int. Math. Res. Pap.
International Mathematics Research Surveys	Int. Math. Res. Surv.
International Nano Letters	Int. Nano Lett.
International Nonwovens Journal	Int. Nonwovens J.
International Peat Journal	Int. Peat J.
